bsbsbsbs,codepoint
21111155,0
31111163,1
11111246,2
21111254,3
31111262,4
11111345,5
21111353,6
31111361,7
11111444,8
21111452,9
11111543,10
61112114,11
11112155,12
21112163,13
61112213,14
11112254,15
21112262,16
61112312,17
11112353,18
21112361,19
61112411,20
11112452,21
51113114,22
61113122,23
11113163,24
51113213,25
61113221,26
11113262,27
51113312,28
11113361,29
51113411,30
41114114,31
51114122,32
41114213,33
51114221,34
41114312,35
41114411,36
31115114,37
41115122,38
31115213,39
41115221,40
31115312,41
31115411,42
21116114,43
31116122,44
21116213,45
31116221,46
21116312,47
11121146,48
21121154,49
31121162,50
11121245,51
21121253,52
31121261,53
11121344,54
21121352,55
11121443,56
21121451,57
11121542,58
61122113,59
11122154,60
21122162,61
61122212,62
11122253,63
21122261,64
61122311,65
11122352,66
11122451,67
51123113,68
61123121,69
11123162,70
51123212,71
11123261,72
51123311,73
41124113,74
51124121,75
41124212,76
41124311,77
31125113,78
41125121,79
31125212,80
31125311,81
21126113,82
31126121,83
21126212,84
21126311,85
11131145,86
21131153,87
31131161,88
11131244,89
21131252,90
11131343,91
21131351,92
11131442,93
11131541,94
61132112,95
11132153,96
21132161,97
61132211,98
11132252,99
11132351,100
51133112,101
11133161,102
51133211,103
41134112,104
41134211,105
31135112,106
31135211,107
21136112,108
21136211,109
11141144,110
21141152,111
11141243,112
21141251,113
11141342,114
11141441,115
61142111,116
11142152,117
11142251,118
51143111,119
41144111,120
31145111,121
11151143,122
21151151,123
11151242,124
11151341,125
11152151,126
11161142,127
11161241,128
12111146,129
22111154,130
32111162,131
12111245,132
22111253,133
32111261,134
12111344,135
22111352,136
12111443,137
22111451,138
12111542,139
62112113,140
12112154,141
22112162,142
62112212,143
12112253,144
22112261,145
62112311,146
12112352,147
12112451,148
52113113,149
62113121,150
12113162,151
52113212,152
12113261,153
52113311,154
42114113,155
52114121,156
42114212,157
42114311,158
32115113,159
42115121,160
32115212,161
32115311,162
22116113,163
32116121,164
22116212,165
22116311,166
21211145,167
31211153,168
41211161,169
11211236,170
21211244,171
31211252,172
11211335,173
21211343,174
31211351,175
11211434,176
21211442,177
11211533,178
21211541,179
11211632,180
12121145,181
22121153,182
32121161,183
11212145,184
12121244,185
22121252,186
11212244,187
21212252,188
22121351,189
11212343,190
12121442,191
11212442,192
12121541,193
11212541,194
62122112,195
12122153,196
22122161,197
61213112,198
62122211,199
11213153,200
12122252,201
61213211,202
11213252,203
12122351,204
11213351,205
52123112,206
12123161,207
51214112,208
52123211,209
11214161,210
51214211,211
42124112,212
41215112,213
42124211,214
41215211,215
32125112,216
31216112,217
32125211,218
31216211,219
22126112,220
22126211,221
11221136,222
21221144,223
31221152,224
11221235,225
21221243,226
31221251,227
11221334,228
21221342,229
11221433,230
21221441,231
11221532,232
11221631,233
12131144,234
22131152,235
11222144,236
12131243,237
22131251,238
11222243,239
21222251,240
11222342,241
12131441,242
11222441,243
62132111,244
12132152,245
61223111,246
11223152,247
12132251,248
11223251,249
52133111,250
51224111,251
42134111,252
41225111,253
32135111,254
31226111,255
22136111,256
11231135,257
21231143,258
31231151,259
11231234,260
21231242,261
11231333,262
21231341,263
11231432,264
11231531,265
12141143,266
22141151,267
11232143,268
12141242,269
11232242,270
12141341,271
11232341,272
12142151,273
11233151,274
11241134,275
21241142,276
11241233,277
21241241,278
11241332,279
11241431,280
12151142,281
11242142,282
12151241,283
11242241,284
11251133,285
21251141,286
11251232,287
11251331,288
12161141,289
11252141,290
11261132,291
11261231,292
13111145,293
23111153,294
33111161,295
13111244,296
23111252,297
13111343,298
23111351,299
13111442,300
13111541,301
63112112,302
13112153,303
23112161,304
63112211,305
13112252,306
13112351,307
53113112,308
13113161,309
53113211,310
43114112,311
43114211,312
33115112,313
33115211,314
23116112,315
23116211,316
12211136,317
22211144,318
32211152,319
12211235,320
22211243,321
32211251,322
12211334,323
22211342,324
12211433,325
22211441,326
12211532,327
12211631,328
13121144,329
23121152,330
12212144,331
13121243,332
23121251,333
12212243,334
22212251,335
12212342,336
13121441,337
12212441,338
63122111,339
13122152,340
62213111,341
12213152,342
13122251,343
12213251,344
53123111,345
52214111,346
43124111,347
42215111,348
33125111,349
32216111,350
23126111,351
21311135,352
31311143,353
41311151,354
11311226,355
21311234,356
31311242,357
11311325,358
21311333,359
31311341,360
11311424,361
21311432,362
11311523,363
21311531,364
11311622,365
12221135,366
22221143,367
32221151,368
11312135,369
12221234,370
22221242,371
11312234,372
21312242,373
22221341,374
11312333,375
12221432,376
11312432,377
12221531,378
11312531,379
13131143,380
23131151,381
12222143,382
13131242,383
11313143,384
12222242,385
13131341,386
11313242,387
12222341,388
11313341,389
13132151,390
12223151,391
11314151,392
11321126,393
21321134,394
31321142,395
11321225,396
21321233,397
31321241,398
11321324,399
21321332,400
11321423,401
21321431,402
11321522,403
11321621,404
12231134,405
22231142,406
11322134,407
12231233,408
22231241,409
11322233,410
21322241,411
11322332,412
12231431,413
11322431,414
13141142,415
12232142,416
13141241,417
11323142,418
12232241,419
11323241,420
11331125,421
21331133,422
31331141,423
11331224,424
21331232,425
11331323,426
21331331,427
11331422,428
11331521,429
12241133,430
22241141,431
11332133,432
12241232,433
11332232,434
12241331,435
11332331,436
13151141,437
12242141,438
11333141,439
11341124,440
21341132,441
11341223,442
21341231,443
11341322,444
